id,name,slug,description,companies,logo
220,Vicious Engine,vicious-engine,,,
1184,Bitsy 3D,bitsy-3d,,,
1597,Star Rod,star-rod,Star Rod is a modding tool for Paper Mario (Nintendo 64).,,
339,The Eight-Bit Universal Role Playing Engine,the-eight-bit-universal-role-playing-engine,,,
127,LS3D,ls3d,,,
546,AGS,ags,,,
119,Glacier,glacier,"The Glacier 1 game engine was created by IO Interactive in 1998 and was used publicly for the first time in the year 2000, with the release of IO Interactives first game, Hitman: Codename 47.",[290],70.0
1128,Pixel Game Maker MV,pixel-game-maker-mv,,,
1331,Tiger,tiger,,,
1279,MS25,ms25,,,
488,PC,pc--1,,,
1776,GRACE,grace,,,
229,Moai,moai,,,
129,Emmersion,emmersion,,,
184,Killzone Shadow Fall engine,killzone-shadow-fall-engine,,,
1617,RT64,rt64,RT64 is an N64 graphics renderer for playing games with enhancements in emulators and native ports.,,331.0
1210,Darkstar,darkstar,,,
1681,EntisGLS,entisgls,,,
288,Dagon Engine,dagon-engine,,,
766,Saber3D Engine,saber3d-engine,,,
1469,Narrat,narrat,Narrat is a game engine for making interactive narrative RPGs.,,215.0
34,GlassBox,glassbox,,,
1592,libsm64,libsm64,,,
40,Titan 2.0,titan-2-0,,,
1558,MegaZeux,megazeux,MegaZeux is a game creation system originally released in 1994 and still being developed today.,,
1756,Sonic Dash,sonic-dash,,,
1052,Rpgmak,rpgmak,,,
1108,Starlight,starlight,,,
109,Horizon Engine,horizon-engine,,,
112,FlatRedBall,flatredball,,,
44,Velocity Engine,velocity-engine,,[481],
146,Beard+Razor,beard-plus-razor,,,
162,Vampire,vampire,,,
1357,Cryogen,cryogen,,,
1185,Creatures Evolution Engine,creatures-evolution-engine,,,
1211,Trial,trial,,,
1212,plays,plays,,,
1310,Raven,raven,,,
1328,RTC Engine,rtc-engine,,,
1589,R² Engine,r2-engine,The R² Engine is a custom multiplayer platform that aims to put a thousand players onto a dense battlefield in a persistent online world.,[39452],312.0
1403,NeoAxis,neoaxis,,,
1479,G-Engine,g-engine,,[32],
1482,Virtual Stadium,virtual-stadium,,,
1735,Rayne,rayne,Multiplatform 3D game engine.,[25007],401.0
1704,Trisoft Engine,trisoft-engine,,,
835,Dark Sun,dark-sun,,,
772,Acknex,acknex,,,
977,CP System III (CPS-3),cp-system-iii-cps-3,,,
623,Abyss Engine,abyss-engine,,,
1159,ShiVa3d,shiva3d,,,
699,Havoc,havoc,,,
1450,Titanium,titanium--1,"Titanium engine (an updated version of Pure3D) was an engine developed by Radical Entertainment between 2005 and 2012, used on Crash Tag Team Racing; Scarface: The World Is Yours; Crash of the Titans; Crash: Mind over Mutant and Prototype (series).",,
69,Build,build,,"[188, 224]",30.0
1009,KRASS Engine,krass-engine,,,
1076,Engine,engine,,,326.0
346,Road Hog Engine,road-hog-engine,,[420],
39,SCI1.1,sci1-1,,,
817,NeoX engine [ by NetEase Games ],neox-engine-by-netease-games,NeoX is the NetEase Games’ proprietary graphics engine,,
1293,Glacier Engine,glacier-engine,,,
1235,NESiCAxLive,nesicaxlive,,,
498,DS2,ds2,,[12247],
1139,Flutter,flutter,,,
20,Doom engine,doom-engine,,,
1250,Airem engine,airem-engine,,,
673,Serious Engine 4.0,serious-engine-4-dot-0,,,
23,Serious Engine 4,serious-engine-4,,,
30,Angelica III,angelica-iii,,,
1131,Steamclock Software,steamclock-software,,,
1364,Storytelling System,storytelling-system,,,
38,Diesel,diesel,,,
261,Soft Engine,soft-engine,,,
269,Freescape,freescape,,,
268,c#,c-number,,,
270,Cinematique,cinematique,,,
1037,Bemani PC Type 5,bemani-pc-type-5,,,
1270,Nugbase Engine,nugbase-engine,,,
68,Aurora Engine,aurora-engine,,[2],
1307,Halo 3,halo-3,,,
