id,name,deck,image,genres,site_detail_url,genre_names,genre_count,image_url
1,Command & Conquer,Overall Command & Conquer is a great strategy game and easily the best available on the PlayStation.,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/9/6/2/2210962-cncbox.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/9/6/2/2210962-cncbox.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/9/6/2/2210962-cncbox.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/9/6/2/2210962-cncbox.jpg'}","[{'name': 'Real-Time'}, {'name': 'Strategy'}]",https://www.gamespot.com/command-and-conquer/,"['Real-Time', 'Strategy']",2,
2,Return of Arcade,"For nostalgia buffs, these old games are worth your time and money, though you will miss the feel of the arcade controller.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/1/8/2-18.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/1/8/2-18.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/1/8/2-18.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/1/8/2-18.jpg'}",[{'name': 'Compilation'}],https://www.gamespot.com/return-of-arcade/,['Compilation'],1,
3,The Dig,"In almost every sense, The Dig represents a leap backwards from LucasArts' previous group of adventure games.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/0/0/4/6/2210046-the_dig_box_front_6570x8280.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/0/0/4/6/2210046-the_dig_box_front_6570x8280.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/0/0/4/6/2210046-the_dig_box_front_6570x8280.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/0/0/4/6/2210046-the_dig_box_front_6570x8280.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/the-dig/,['Adventure'],1,
4,Mission Critical,"Put simply, Mission Critical was one of the best adventures of 1995.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/7/0/5/2215705-g00770r2t3r.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/7/0/5/2215705-g00770r2t3r.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/7/0/5/2215705-g00770r2t3r.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/7/0/5/2215705-g00770r2t3r.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/mission-critical/,['Adventure'],1,
5,Links LS: Legends in Sports 1997 Edition,"With this update, Links LS can rightfully reclaim its status as the king of golf sims.",{'original': 'https://www.gamespot.com/a/uploads/original/box/2/8/5-28.jpg'},"[{'name': 'Golf'}, {'name': 'Simulation'}, {'name': 'Sports'}]",https://www.gamespot.com/links-ls-legends-in-sports-1997-edition/,"['Golf', 'Simulation', 'Sports']",3,
6,Star Wars Rebel Assault II: The Hidden Empire,"Rebel Assault II  will be enough to satisfy those seeking a worthwhile multimedia ""experience,"" but the limited gameplay will send hard-core gamers running back to Tie Fighter.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/box/2/9/6-29.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/box/2/9/6-29.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/box/2/9/6-29.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/box/2/9/6-29.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'On-Rails'}, {'name': 'Shooter'}]",https://www.gamespot.com/star-wars-rebel-assault-ii-the-hidden-empire/,"['3D', 'Action', 'On-Rails', 'Shooter']",4,
7,Shannara,"Shannara is an excellent pick for novice users or fans of Mr. Brooks, but experienced players should probably keep looking.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/6/7/6/3/2216763-shannara.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/6/7/6/3/2216763-shannara.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/6/7/6/3/2216763-shannara.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/6/7/6/3/2216763-shannara.jpg'}",[{'name': 'Adventure'}],https://www.gamespot.com/shannara/,['Adventure'],1,
8,Screamer (1995),"Screamer shuns the pit stops, personnel moves, and car equipment upgrades that have become familiar to racing fans in favor of colorful, straightforward, hard-driving action.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/5/7/4/4/2215744-screamer1_box.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/5/7/4/4/2215744-screamer1_box.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/5/7/4/4/2215744-screamer1_box.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/5/7/4/4/2215744-screamer1_box.jpg'}","[{'name': 'Arcade'}, {'name': 'Driving/Racing'}]",https://www.gamespot.com/screamer-1995/,"['Arcade', 'Driving/Racing']",2,
9,Comix Zone,,"{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/9/4/0/7/2209407-genesis_comixzone.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/9/4/0/7/2209407-genesis_comixzone.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/9/4/0/7/2209407-genesis_comixzone.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/9/4/0/7/2209407-genesis_comixzone.jpg'}","[{'name': '2D'}, {'name': 'Action'}, {'name': ""Beat-'Em-Up""}]",https://www.gamespot.com/comix-zone/,"['2D', 'Action', ""Beat-'Em-Up""]",3,
10,Quake,"If you're into action games, or even if you're not, you should be playing Quake right now - it's as good as PC gaming gets.","{'square_tiny': 'https://www.gamespot.com/a/uploads/square_tiny/mig/2/8/6/2/2212862-dfvgbhnm.jpg', 'screen_tiny': 'https://www.gamespot.com/a/uploads/screen_tiny/mig/2/8/6/2/2212862-dfvgbhnm.jpg', 'square_small': 'https://www.gamespot.com/a/uploads/square_small/mig/2/8/6/2/2212862-dfvgbhnm.jpg', 'original': 'https://www.gamespot.com/a/uploads/original/mig/2/8/6/2/2212862-dfvgbhnm.jpg'}","[{'name': '3D'}, {'name': 'Action'}, {'name': 'First-Person'}, {'name': 'Shooter'}]",https://www.gamespot.com/quake/,"['3D', 'Action', 'First-Person', 'Shooter']",4,
